name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
Y. KUNG PAO SHRIMP,6.4,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CRAB MEAT RANGOON,5.84,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
LO-MEIN,11.9,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ORANGE CHICKEN,10.9,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SESAME CHICKEN,10.9,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EGG ROLL (2 PCS),3.65,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
FRIED WONTON (10 PCS),4.3,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
GOLDEN FRIED SHRIMP,4.4,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
FRENCH FRIES,2.75,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EGG DROP SOUP,2.98,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
WON TON SOUP,2.71,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
HOT AND SOUR SOUP,2.3,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
COMBINATION,9.14,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SHRIMP,7.35,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHICKEN,6.35,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BEEF,7.49,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
VEGETARIAN,6.35,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
FRIED SHRIMP,4.6,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
FRIED BONELESS CHICKEN,4.6,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
FRIED FISH,4.75,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
COKE,1.75,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BIG RED,1.75,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
DIET COKE,1.75,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SPRITE,1.75,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
HOT TEA,1.65,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ICED TEA,1.65,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
COFFEE,1.65,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
LEMON CHICKEN,7.9,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SWEET AND SOUR CHICKEN,8.0,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SWEET AND SOUR SHRIMP,7.42,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SWEET AND SOUR PORK,5.85,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHICKEN WITH BROCCOLI,5.85,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
KUNG PAO CHICKEN,5.85,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PEPPER STEAK,10.4,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BEEF IN GARLIC SAUCE,7.57,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SHRIMP WITH VEGETABLES,8.11,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
MONGOLIAN BEEF,11.36,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BEEF WITH MUSHROOMS,6.35,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BEEF WITH BROCCOLI,7.52,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
KUNG PAO BEEF,5.85,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BEEF WITH VEGETABLES,5.85,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
DRY SHREDDED BEEF,7.65,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
IMPERIAL CHICKEN,5.85,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHICKEN WITH MUSHROOMS,6.35,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHICKEN WITH VEGETABLES,5.85,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHICKEN IN GARLIC SAUCE,5.85,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHICKEN WITH BLACK BEAN SAUCE,5.85,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ALMOND CHICKEN,7.57,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
MONGOLIAN CHICKEN,5.85,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SHRIMP WITH BROCCOLI,8.11,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
COMBINATION LO-MEIN,8.49,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
GENERAL CHICKEN,7.49,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
TRIPLE DELIGHT,8.06,,GOLDEN GATE EXPRESS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
