name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
UTENSILS,0.0,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHOPSTICKS,0.0,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
FORTUNE COOKIES,0.0,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHILI PACKETS,0.0,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
HOT MUSTARD PACKETS,0.0,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SOY SAUCE PACKETS,0.0,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SWEET CHILI PACKETS,0.0,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
NEW! FAMILY BUNDLE,29.99,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SPICY POLYNESIAN POKE BOWL,11.5,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
ASIAN CHOPPED CHICKEN SALAD,10.7,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
NEW! MONGOLIAN GREEN BEANS,6.89,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SIGNATURE CHICKEN LETTUCE WRAPS,8.99,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
YUM YUM SHRIMP,5.79,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
THAI DONUTS,3.39,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
FUDGE BROWNIE,2.5,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
GF ASIAN CHOPPED CHICKEN SALAD,10.7,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SIDE OF WHITE RICE,0.89,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SIDE OF BROWN RICE,0.89,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SIDE OF FRIED RICE,2.99,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SIDE OF NOODLES,1.49,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SIDE OF STEAMED VEGETABLES,3.59,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
REGULAR FOUNTAIN DRINK,2.29,,PEI WEI (999 E BASSE RD. SUITE 199),"UBEREATS, SAN ANTONIO, TX",,,,,,,
