name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
EXTRA LARGE MEAT LOVERS,12.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
EXTRA LARGE PEPPERONI,12.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
EXTRA LARGE SUPREME,12.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
JUMBO CHICKEN WINGS TWELVE PIECES,13.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
EXTRA LARGE CHEESE,12.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
EXTRA LARGE PEPPERONI SLICE,3.49,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
EXTRA LARGE BBQ CHICKEN & BACON SLICE,3.49,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
EXTRA LARGE MEAT LOVERS SLICE,3.49,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
EXTRA LARGE SUPREME SLICE,3.49,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
EXTRA LARGE CHEESE SLICE,3.49,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
JUMBO CHICKEN WINGS FIVE PIECES,6.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
JUMBO CHICKEN WINGS SEVEN PIECES,8.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
JUMBO CHICKEN WINGS NINE PIECES,10.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
JUMBO SPICY CHICKEN WINGS FIVE PIECES,6.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
JUMBO SPICY CHICKEN WINGS SEVEN PIECES,8.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
JUMBO SPICY CHICKEN WINGS NINE PIECES,10.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
JUMBO SPICY CHICKEN WINGS TWELVE PIECES,13.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
FIVE CHICKEN TENDERS,6.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SEVEN CHICKEN TENDERS,8.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
NINE CHICKEN TENDERS,10.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
TWELVE CHICKEN TENDERS,13.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
GRAB AND GO CHEESE IT,1.79,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
DORITOS NACHO,1.89,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
LAY'S CLASSIC,1.89,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
RUFFLES CHEDDAR AND SOUR CREAM,1.89,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
DORITOS COOL RANCH,1.89,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHEETOS CRUNCHY,1.89,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
FUNYUNS,1.89,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHEX MIX TRADITIONAL,2.19,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
COMBOS PRETZEL WITH CHEDDAR CHEESE,2.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SNAK CLUB FAMILY SIZE ENERGIZER TRAIL MIX,6.79,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
WONDERFUL ROASTED AND SALTED PISTACHIOS,7.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
WONDERFUL ROASTED AND SALTED UNSHELLED PISTACHIOS,9.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
JACK LINKS ORIGINAL JERKY,12.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
JACK LINKS PEPPERED JERKY,12.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
JACK LINKS TERIYAKI JERKY,12.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
OLD TRAPPER OLD FASHION JERKY,15.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
OLD TRAPPER PEPPERED JERKY,15.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
HARIBO GOLD BEARS,2.69,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
HERSHEY ALMOND KING SIZE,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
HERSHEY BAR MILK CHOCOLATE KING SIZE,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
KIT KAT KING SIZE,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
M AND M PEANUT KING SIZE,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
PAYDAY KING,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
REESE CUP KING SIZE,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
REESE FAST BREAK KING SIZE,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
REESE STICKS KING SIZE,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SNICKERS KING TWO PIECE,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
TWIX CARAMEL KING,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BON APPETIT CHEESE AND BERRY DANISH,2.39,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BON APPETIT APPLE TURNOVER,2.39,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BON APPETIT BLUBERRY CREAM DANISH,2.39,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BON APPETIT CHEESE CROISSANT,2.39,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
RICE KRISPIES TREAT ORIGINAL BIG BAR,1.59,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
MONSTER JAVA MEAN BEAN,3.29,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
MONSTER JAVA LOCA MOCA,3.29,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
MONSTER JAVA SLTD CRML,3.29,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
STARBUCKS FRAPP MOCHA,3.19,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
STARBUCKS FRAPP VAN,3.19,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
STARBUCKS FRAPP CRML MACCHIATO,3.19,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
MONSTER,2.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
MONSTER ZERO ULTRA,2.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
MONSTER ULTRA PARADISE,2.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
RED BULL,3.49,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
RED BULL SUGAR FREE,3.49,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
RED BULL BLUE BERRY,3.49,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
FIVE HOUR ENERGY EX STRONG BERRY,3.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
TROPICANA APPLE,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
TROPICANA ORANGE NO PULP,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
TROPICANA PREM ORANGE HMSTL PULP,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
CANADA DRY GINGER ALE,1.89,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
COCA COLA,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
COKE CHRY,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
COKE ZERO,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
COKE ZERO CHRY TWO,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
DIET COKE,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
DIET DR PEPPER,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
DIET MOUNTAIN DEW,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
DIET PEPSI,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
DR PEPPER,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
DR PEPPER CHRY,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
MOUNTAIN DEW,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
MOUNTAIN DEW CODE RED,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
PEPSI,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SPRITE,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
ARIZONA GREEN TEA,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
ARIZONA TEA SWEET,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
ARIZONA TEA ARNLD PLMR,1.99,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BODYARMOR STRAWBERRY BANANA,2.79,,PJ FRESH (1815 N FOSTER ROAD),"UBEREATS, SAN ANTONIO, TX",,,,,,,
