name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
ICED TEA,3.35,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BEEF FAJITA TACO,3.19,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
HORCHATA,2.5,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHIPS SALSA,3.5,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
FRESH LEMONADE,2.5,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
#1-CARNE ASADA PLATE,10.59,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
RANCHERO STEAK PLATE,10.59,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SIRLOIN RANCHERO PLATE,9.49,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CARNE AL PASTOR PLATE,9.29,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ENCHILADAS VERDES PLATE,8.99,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PLATO MEXICANO,8.79,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ENCHILADAS DE QUESO PLATE,8.29,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ENCHILADAS DE CARNE PLATE,8.59,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CARNE TAMPIQUENA PLATE,11.59,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PLATO TEXAS,10.99,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CARNE GUISADA PLATE,8.99,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CALDO DE RES PLATE,6.99,,TAQUERIA PERLA TAPATIA,"UBEREATS, SAN ANTONIO, TX",,,,,,,
