name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BANANA PUDDING,6.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
THREE-CHILI RUBBED BRISKET SANDWICH,12.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SMOKED MAC N CHEESE,7.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHICKEN AND SHRIMP ANTICUCHOS,11.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CRISPY CHICKEN SANDWICH,13.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SLIDER TRIO,9.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
HOUSEMADE BRATWURST,8.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SAUSAGE ON A STICK,7.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
GERMAN-STYLE SOFT PRETZEL,7.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
TWICE COOKED WINGS,9.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
TEXAS TORPEDOES,8.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHILI,7.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHILI CHEESE DIPPERS,9.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BARBECUE PLATES - THREE MEATS,22.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BARBECUE PLATES - TWO MEATS,20.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BARBECUE PLATES - ONE MEAT,18.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SMOKED TURKEY SANDWICH,12.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SMOKED BRISKET SANDWICH,12.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
LOADED POTATO,12.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
COBB SALAD,14.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
STUFFED PORTABELLA,14.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
GRILLED CHICKEN BREAST,12.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
TRIPLE DECKER CLUB,13.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
KING RANCH CHICKEN,11.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ANGUS BEEF BURGER,9.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BRISKET,5.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SAUSAGE,3.25,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
TURKEY BREAST,3.5,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHOPPED BRISKET,3.5,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BOX LUNCHES FOR THE GANG,60.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
JALAPEÑO CREAMED CORN,7.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
FRIED OKRA,5.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SEASONAL VEGGIES,5.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
HOUSE CHIPS AND ONION DIP,4.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SIDE SALAD,3.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SEASONAL WARM FRUIT CRUMBLE WITH VANILLA ICE CREAM,7.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CREAMY CHOCOLATE MOUSSE,6.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
4 ASSORTED WARM COOKIES AND MILK,7.0,,THE WELL,"UBEREATS, SAN ANTONIO, TX",,,,,,,
