name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CARNE ASADA MINI TACOS (4 PCS),11.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHAMOYADA,6.5,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
GRILLED CHICKEN CLUB TORTA,10.4,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BIONICO ENERGETICO (CHICO),8.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
FRESAS CON CREMA,7.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
WICHO'S MEXI-CALI CHEESEBURGER (1/3 LB),9.1,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
WICHO'S LA FAVORITA CHEESEBURGER (1/3 LB),8.45,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EL AMERICANO BURGER (1/3 LB),7.15,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
LA CHIQUITA HAMBURGUESA (1/4 LB),5.85,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
QUE DELUXE BACON CHEESEBURGER (1/3 LB),9.1,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
WICHO'S GRILLED POLLO CLUB HAMBURGUESA (SINGLE),8.45,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
WICHO EN HAWAII HAMBURGUESA (1/3 LB),10.4,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ENSALADA (MEDIANO),12.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CARNE ASADA TORTA,10.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ACHIOTE CHICKEN TORTA,10.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
GRILLED HAM TORTA,10.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SHREDDED BEEF TORTA,8.5,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
WICHO'S BREAKFAST TORTA,10.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SCRAMBLED EGGS TORTAS,10.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EL CLUB MEXICANO SANDWICH,12.6,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ACHIOTE CHICKEN MINI TACOS (4 PCS),11.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SHREDDED BEEF MINI TACOS (4 PCS),11.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EL CHIHUHUA DOG,4.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EL ELOTERO DOG,5.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
FRY DOG,5.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHILI DOG,5.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EL CHILANGO DOG,6.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EL BRASILERO EN MEXICO HOT DOG,5.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EL NACHO DOG,5.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
HOT CHEETOS HOT DOG,5.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
TAKIS DOG,5.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PAPAS FRITAS,9.5,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ELOTE FRIES,9.5,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHEETO QUESO FRIES,7.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PAPA CON HUEVO,8.5,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
QUESO FRIES,6.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CARNE ASADA NACHOS (MEDIANO),10.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ACHIOTE CHICKEN NACHOS (MEDIANO),10.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
REGULAR NACHOS (MEDIANO),7.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
HAM CHICHARRON CHAROLAS (MEDIANO),8.5,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PORK SKIN CHICHARRON CHAROLAS (CUERITOS) (MEDIANO),8.5,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EL FRESCO EN VASO,5.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EL QUIERO QUESO EN VASO,5.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EL FRESCO ENTERO,6.5,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EL QUIERO QUESO ENTERO,6.5,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
HOT CHEETOS (ELOTES REVOLCADOS),7.8,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ELOTE ENTERO AND NACHOS,12.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EL FRESCO CHAROLAS,9.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EL QUIERO QUESO CHAROLAS,9.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
GRILLED CORN CHAROLAS (WICHO'S ESQUITE),10.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EL CHEETOS CORN CHAROLAS,10.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
NACHOLOTES,9.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
NACHOLOTES CON CARNE,12.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
"TOSTILOTES, CONCHILOTES, AND DORITOLOTES",8.5,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PICOSO FRUIT CUPS,7.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
DULCE FRUIT CUP,8.0,,WICHO'S MEXICAN DELI,"UBEREATS, SAN ANTONIO, TX",,,,,,,
