name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SEASONED FRENCH FRIES,2.99,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
JUMBO WINGS (10-PC REGULAR PACK),10.99,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
WINGS & THINGS PACK,24.95,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
MOZZARELLA STICKS,4.99,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BONELESS WINGS (10-PC REGULAR PACK),10.99,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHICKEN TENDERS,10.75,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
JUMBO WINGS (15-PC LARGE PACK),15.99,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
JUMBO WINGS (20-PC PARTY PACK),20.99,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
JUMBO WINGS (40-PC FOOTBALL PACK),39.99,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BONELESS WINGS (15-PC LARGE PACK),15.99,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BONELESS WINGS (20-PC PARTY PACK),20.99,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BONELESS WINGS (40-PC FOOTBALL PACK),39.99,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
ONION RINGS,4.99,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
CAESAR SIDE SALAD,4.99,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
HOUSE SIDE SALAD,4.99,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SNICKERS CANDY BAR,2.95,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
M&M'S PEANUT,2.95,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
M&M'S PLAIN CHOCOLATE,2.95,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SKITTLES,2.95,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
TWIX,2.95,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
KIT KAT (KING SIZE),4.95,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
LAYS CLASSIC POTATO CHIPS,1.95,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BAKED LAYS SOUR CREAM & ONION CHIPS,1.95,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
COCA COLA CAN,2.49,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
DIET COKE CAN,2.49,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SPRITE CAN,2.49,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
DASANI BOTTLED WATER,2.49,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
MINUTE MAID BOTTLED ORANGE JUICE,2.49,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
"VITAMINWATER, XXX BOTTLE",3.49,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
RED BULL ENERGY,4.95,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
RED BULL SUGAR-FREE ENERGY,4.95,,WINGS & THINGS (SAT07-1),"UBEREATS, SAN ANTONIO, TX",,,,,,,
