name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CAESAR SALAD (SIDE),3.39,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
1 SLICE COMBO (TOPPED) (EXTRA LARGE),9.88,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
GARDEN SALAD COMBO,11.49,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
INDIVIDUAL STROMBOLI COMBO,11.49,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
"PEPPERONI, SAUSAGE, AND BACON STROMBOLI (24)",20.11,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
1 SLICE COMBO (CHEESE) (EXTRA LARGE),9.3,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
2 SLICE COMBO (EXTRA LARGE),10.91,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
NY CHEESE SLICE (EXTRA LARGE),4.7,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
NY PEPPERONI SLICE (EXTRA LARGE),5.28,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
NY SUPREMO SLICE (EXTRA LARGE),5.28,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
NY VEGGIE SLICE (EXTRA LARGE),5.28,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
SPAGHETTI WITH SAUCE,7.46,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
SPAGHETTI WITH MEATBALLS,8.84,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
BAKED ZITI,8.84,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
WHITE CHEDDAR MAC & CHEESE,7.49,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
SPAGHETTI (SIDE),3.79,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
BAKED ZITI (SIDE),5.69,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
SPAGHETTI WITH SAUCE COMBO,12.06,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
SPAGHETTI WITH MEATBALLS COMBO,13.44,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
BAKED ZITI COMBO,13.44,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
GARDEN SALAD,6.89,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
CAESAR SALAD,6.89,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
CAESAR SALAD COMBO,11.49,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
GARDEN SALAD (SIDE),3.39,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
2 BREADSTICKS + MARINARA,2.59,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
6 BREADSTICKS + MARINARA,5.69,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
1 MEATBALL,2.06,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
CHIPOTLE RANCH CUP,0.69,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
GARLIC SAUCE CUP,0.69,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
RANCH,0.69,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
CHOCOLATE CHIP COOKIE,1.39,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
BOTTLED WATER,3.32,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
BOTTLED GATORADE,3.55,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
FOUNTAIN DRINK (32 OZ),3.32,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
CREATE YOUR OWN NY PIZZA (LARGE) (14),14.36,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
CREATE YOUR OWN NY PIZZA (EXTRA LARGE) (17),17.81,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
CREATE YOUR OWN STROMBOLI,20.11,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
SPECIALITY PIZZA (LARGE) (14),14.36,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
SPECIALTY PIZZA (EXTRA LARGE) (17),17.81,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
SPINACH STROMBOLI (24),20.11,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
PEPPERONI STROMBOLI (24),20.11,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
2 BREADSTICKS AND SAUCE,2.98,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
6 BREADSTICKS AND SAUCE,6.54,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
"DIPPING CUP (RANCH, CHIPOTLE RANCH, AND GARLIC SAUCE)",0.79,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
"BOTTLED GATORADE (FRUIT PUNCH, BLUE RASPBERRY, OR ORANGE)",3.55,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
PEPSI (32 OZ),3.32,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
DIET PEPSI (32 OZ),3.32,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
SIERRA MIST (32 OZ),3.32,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
DR. PEPPER (32 OZ),3.32,,SBARRO (13350 DALLAS PARKWAY),"UBEREATS, TX",,,,,,,
