name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
PIEROGI / PIEROGI,8.0,,OPOLSKA,"UBEREATS, SCHAUMBURG, IL",,,,,,,
BREADED PORK CUTLET / KOTLET SCHABOWY,18.0,,OPOLSKA,"UBEREATS, SCHAUMBURG, IL",,,,,,,
HUNGARIAN POTATO PANCAKE / PLACEK PO WEGIERSKU,20.75,,OPOLSKA,"UBEREATS, SCHAUMBURG, IL",,,,,,,
CHICKEN SOUP / ROSOL,6.5,,OPOLSKA,"UBEREATS, SCHAUMBURG, IL",,,,,,,
BREADED CHICKEN CUTLET / KOTLET Z KURCZAKA,18.0,,OPOLSKA,"UBEREATS, SCHAUMBURG, IL",,,,,,,
WHITE BORSCHT / ZUREK,7.75,,OPOLSKA,"UBEREATS, SCHAUMBURG, IL",,,,,,,
BEEF TRIPE SOUP / FLAKI,11.75,,OPOLSKA,"UBEREATS, SCHAUMBURG, IL",,,,,,,
SOUP OF THE DAY / ZUPA DNIA,7.75,,OPOLSKA,"UBEREATS, SCHAUMBURG, IL",,,,,,,
"OPOLSKA POWER SALAD WITH CHICKEN, EGG, TOMATO, CUCUMBER, AVOCADO, LETTUCE",15.5,,OPOLSKA,"UBEREATS, SCHAUMBURG, IL",,,,,,,
CAESAR SALAD,9.0,,OPOLSKA,"UBEREATS, SCHAUMBURG, IL",,,,,,,
MASHED POTATO / ZIEMNIAKI UBLJANE,4.5,,OPOLSKA,"UBEREATS, SCHAUMBURG, IL",,,,,,,
BAKED POTATOES / ZIEMNIAKI PIECZONE,4.5,,OPOLSKA,"UBEREATS, SCHAUMBURG, IL",,,,,,,
RICE / RYZ,4.5,,OPOLSKA,"UBEREATS, SCHAUMBURG, IL",,,,,,,
FRENCH FRIES / FRYTKI,4.5,,OPOLSKA,"UBEREATS, SCHAUMBURG, IL",,,,,,,
DUMPLINGS / KLUSKI LUB KOPYTKA,6.5,,OPOLSKA,"UBEREATS, SCHAUMBURG, IL",,,,,,,
