name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
92ND ST WINGS,10.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
CHICKEN QUESADILLA,13.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
CHICKEN FINGER PLATTER,13.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
GIANT PRETZEL + BEER CHEESE,9.5,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
FRENCH DIP,14.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
FRIED CALAMARI,10.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
CHIPS & SALSA,7.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
POTATO SKINS,9.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
SPINACH ARTICHOKE DIP,9.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
ONION RINGS,7.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
CRISPY ZUCCHINI,8.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
CHEESE CRISP,9.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
TOASTED JALAPEÑO RAVIOLI,9.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
COCONUT SHRIMP APPETIZER,13.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
NACHOS GRANDE,10.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
NEW ZEALAND GREEN LIP MUSSELS,11.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
KICKASS JALAPENOS,7.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
SHRIMP COCKTAIL,15.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
FRIED MOZZARELLA CHEESE STICKS,7.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
THREE SLIDERS,9.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
MEATBALLS,8.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
FRESH CHILI BOWL,7.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
CROCK OF FRENCH ONION,6.5,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
SOUP OF THE DAY,4.5,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
SIDE SALAD,4.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
STRAWBERRY CHICKEN SALAD,15.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
CLASSIC CAESAR SALAD,10.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
WEDGE SALAD,11.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
SALMON SALAD,15.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
CHICKEN FAJITA SALAD,15.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
BUFFALO CHICKEN SALAD,13.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
COBB SALAD,15.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
ORIENTAL CHICKEN SALAD,14.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
CHEF’S SALAD,14.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
FILET MIGNON,26.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
NEW YORK STRIP STEAK,21.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
BBQ BABY BACK RIBS,21.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
COCONUT SHRIMP ENTREE,20.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
SHRIMP SCAMPI,19.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
FRESH SALMON,19.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
CHICKEN PARMIGIANA,17.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
CHICKEN PICCATTA,17.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
WALLEYE PIKE,24.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
LINGUINI BOLOGNESE,16.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
BAKED LASAGNA,16.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
HOME-STYLE MEATLOAF,16.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
FISH TACOS,13.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
92ND ST BURGER,14.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
THE WEIGHT WATCHER,12.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
BLUE SHEA BURGER,14.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
THE BBQ BURGER,14.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
MUSHROOM BURGER,14.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
PATTY MELT,11.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
OUR ITALIAN MEATBALL,13.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
REUBEN SANDWICH,13.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
HACIENDA SUPREME,12.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
PHILLY CHEESESTEAK,14.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
THE FULL MONTE CRISTO,14.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
BLT,12.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
TRIPLE DECKER CLUB,13.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
CHICKEN CLUB,13.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
SOUTHWEST CHICKEN WRAP,12.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
TUNA MELT,12.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
CHILI DOG,12.0,,92ND STREET CAFE,"UBEREATS, SCOTTSDALE, AZ",,,,,,,
