name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
WINGS,5.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
CHEESE FRIES,5.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
SOL SAMPLER,10.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
CHICKEN FINGERS,4.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
MOZZARELLA STICKS,7.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
BASKET OF FRIES,4.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
PIZZA FRIES,5.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
BUFFALO FRIES,5.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
SOL FRIES,6.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
MARSALLA FRIES,6.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
BUFFALO TENDERS,4.5,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
COKE,2.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
SPRITE,2.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
PEPSI,2.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
RED BULL,3.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
CRANBERRY JUICE,2.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
PINEAPPLE JUICE,2.0,,SOL LUNA TEA ROOM AND HOOKAH LOUNGE,"UBEREATS, PA",,,,,,,
