name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BUFFALO WINGS,11.49,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
STEAK EGG ROLL,10.25,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
CHICKEN FINGERS,9.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
HOT SOFT PRETZEL,8.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
CAESAR SALAD,8.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
RIBS,15.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
CHICKEN CAPRESE,16.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
QUESADILLA,12.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
MAC AND CHEESE WITH SHRIMP,15.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
MAC AND CHEESE WITH CHICKEN,13.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
BRUSSEL SPROUTS,9.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
CHEESE STICKS,7.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
CALAMARI,10.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
BUFFALO SHRIMP,11.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
FRIED PICKLES,8.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
LOADED FRENCH FRIES,9.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
TATER TOTS QUESO,9.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
NACHOS,11.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
SWEET POTATO FRIES BASKET,6.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
ONION RINGS BASKET,7.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
SMALL BUCKET WINGS,39.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
LARGE BUCKET OF WINGS,59.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
FRENCH FRIES,3.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
TATER TOTS,3.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
SWEET POTATO FRIES,3.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
RICE,3.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
PICO SLAW,3.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
BROCCOLI RABE,3.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
ONION RINGS,3.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
FRENCH ONION SOUP,5.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
CHILLI SOUP,6.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
TACO SALAD,12.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
HARVEST SALAD,11.0,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
HOUSE SALAD,7.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
BBQ SALAD,11.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
ROAST PORK SANDWICH,11.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
CUBAN SANDWICH,11.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
MAHI SANDWICH,11.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
CHICKEN CAESAR AVOCADO WRAP,10.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
CHEESE STEAK,8.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
HANGOVER BURGER,12.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
CALIFORNIA BURGER,11.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
TRADITIONAL BURGER,11.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
CLAMS,10.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
MUSSELS,10.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
CORN AND BEAN SALSA TACO,11.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
PICO SLAW TACO,11.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
CHEESE QUESADILLA,6.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
MAC AND CHEESE,5.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
GRILLED CHEESE,5.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
GRILLED CHICKEN,5.99,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
RED BULL CAN,4.0,,THE GENERAL,"UBEREATS, SOUTHAMPTON, PA",,,,,,,
