name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FRENCH FRY TRIO,15.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
U15 HILL SALAD (VG),6.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
U15 MAYFAIR GRILLED CAESAR SALAD,6.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
U15 STRAWBERRY SALAD (VG),6.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
U30 HILL SALAD (VG),9.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
U30 MAYFAIR GRILLED CAESAR SALAD,9.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
U30 STRAWBERRY SALAD (VG),9.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
FAMOUS BARR FRENCH ONION SOUP,9.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
CUP OF UNION 30'S SOUP DU JOUR,6.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
BOWL OF UNION 30'S SOUP DU JOUR,9.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
THE CLASSIC LOUIE BURGER,14.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
THE IMPOSSIBLE LOUIE BURGER,16.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
THE B.A.L.T,16.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
GRILLED CHEESE BLT,13.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
GRILLED CHEESE-VG,10.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
JAMAICAN JERK BEEF TENDERLOIN SANDWICH,20.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
THE LOUIS BREAKFAST,13.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
HOTEL SAINT LOUIS (FRENCH TOAST),12.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
"CLASSIC EGG, AND CHEESE",11.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
"BACON, EGG, AND CHEESE",12.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
"SAUSAGE, EGG, AND CHEESE",12.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
"HAM, EGG, AND CHEESE",12.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
PAN SEARED SCALLOPS,17.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
FRIED CHEESE CURDS- VG,11.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
SMOKED PULLED PORK TOASTED RAVIOLI,9.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
CRISPY FRIED CHICKEN WINGS,13.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
HEIRLOOM CAPRESE - VG,24.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
MEATY VEGAN RAVIOLI,27.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
PAN SEARED PESTO SALMON,26.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
THE HILL CHICKEN,25.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
COLD SMOKED NY STRIP LOIN,36.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
HEREFORD RESERVE FILET,35.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
CHEF'S CATCH OF THE DAY,30.0,,UNION 30,"UBEREATS, ST LOUIS, MO",,,,,,,
