name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CATFISH BASKET,14.25,,LEA LEA'S DAQUIRI SPOT,"UBEREATS, SUITE 104, TX",,,,,,,
CHICKEN WINGS BASKET,12.95,,LEA LEA'S DAQUIRI SPOT,"UBEREATS, SUITE 104, TX",,,,,,,
SHRIMP BASKET,12.95,,LEA LEA'S DAQUIRI SPOT,"UBEREATS, SUITE 104, TX",,,,,,,
COMBO ONE,18.15,,LEA LEA'S DAQUIRI SPOT,"UBEREATS, SUITE 104, TX",,,,,,,
COMBO TWO,22.05,,LEA LEA'S DAQUIRI SPOT,"UBEREATS, SUITE 104, TX",,,,,,,
CHICKEN AND WAFFLES,18.15,,LEA LEA'S DAQUIRI SPOT,"UBEREATS, SUITE 104, TX",,,,,,,
LEA LEA BURGER (CLASSIC),12.95,,LEA LEA'S DAQUIRI SPOT,"UBEREATS, SUITE 104, TX",,,,,,,
THE SPOT BURGER,16.85,,LEA LEA'S DAQUIRI SPOT,"UBEREATS, SUITE 104, TX",,,,,,,
PHILLY SANDWICH,12.95,,LEA LEA'S DAQUIRI SPOT,"UBEREATS, SUITE 104, TX",,,,,,,
CATFISH PO' BOY,12.95,,LEA LEA'S DAQUIRI SPOT,"UBEREATS, SUITE 104, TX",,,,,,,
SHRIMP PO' BOY,12.95,,LEA LEA'S DAQUIRI SPOT,"UBEREATS, SUITE 104, TX",,,,,,,
GARLIC TOAST,1.3,,LEA LEA'S DAQUIRI SPOT,"UBEREATS, SUITE 104, TX",,,,,,,
FRIES,3.25,,LEA LEA'S DAQUIRI SPOT,"UBEREATS, SUITE 104, TX",,,,,,,
ONION RINGS,3.85,,LEA LEA'S DAQUIRI SPOT,"UBEREATS, SUITE 104, TX",,,,,,,
CORN NUGGETS,3.9,,LEA LEA'S DAQUIRI SPOT,"UBEREATS, SUITE 104, TX",,,,,,,
