name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
C26. GENERAL TSO'S CHICKEN,10.25,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
81. GENERAL TSO'S CHICKEN,12.95,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
54. CHICKEN W. BROCCOLI,7.75,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
C33. BOURBON CHICKEN,10.25,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
FRIED DUMPLINGS,8.95,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
C39. HONEY CHICKEN,10.25,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
CRABMEAT CHEESE WONTON (5 PCS),4.95,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
89. ORANGE CHICKEN,12.95,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
54A. BOURBON CHICKEN,7.95,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
82. SESAME CHICKEN,12.95,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
PAD THAI (NO RICE),13.5,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
C10. SWEET AND SOUR CHICKEN,10.25,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
BONELESS SPARE RIB,9.0,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
54B. HONEY CHICKEN,7.95,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
29. SWEET AND SOUR CHICKEN,7.5,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
STEAMED DUMPLINGS,8.95,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
PU PU PLATTER (FOR 2),14.5,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
CHICKEN TERIYAKI (3 PCS),6.25,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
FRIED WONTON (10 PCS),5.95,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
SHRIMP TOAST (4 PCS),5.75,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
FRIED CHINESE DONUT (10 PCS),5.75,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
SHRIMP EGG ROLL (1 PIECE),2.0,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
ROAST PORK EGG ROLL (1 PIECE),1.8,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
SPRING EGG ROLL (1 PIECE),1.8,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
FRIED CHICKEN NUGGETS (10),5.75,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
FRENCH FRIES,3.5,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
HOT AND SOUR SOUP,4.25,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
WONTON SOUP,3.75,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
EGG DROP SOUP,3.5,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
WONTON EGG DROP SOUP,4.25,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
CHICKEN RICE SOUP,3.5,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
CHICKEN NOODLE SOUP,3.75,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
MIXED VEGETABLE SOUP,3.5,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
HOUSE SPECIAL SOUP,7.0,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
CHICKEN FINGER (8 PCS),5.75,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
FRIED JUMBO SHRIMP (5 PCS),6.5,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
FRIED CRAB STICK (5 PCS),6.5,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
FRIED SCALLOP (10 PCS),6.0,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
FRIED MUSHROOM,5.95,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
1. PLAIN FRIED RICE,5.0,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
2. VEGETABLE FRIED RICE,5.75,,CHINA DRAGON,"UBEREATS, TALLMADGE, OH",,,,,,,
