name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BUFFALO CHICKEN RANCH WRAP,10.99,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
CHEESE BREAD,7.99,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
BASKET OF FRIES,6.79,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
BASKET OF RINGS,9.49,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
PHILLY PIG SKINS,10.49,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
CHICKEN STRIPS,10.49,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
BUFFALO WINGS,11.99,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
SPICY GREEN BEANS,9.49,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
PRETZEL BITES,8.99,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
GREEN CHILI PORK NACHOS,11.99,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
GREEN CHILI NACHOS,8.95,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
MOZZARELLA STICKS,10.49,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
FRIED PICKLE CHIPS,9.49,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
BUFFALO CAULIFLOWER,9.49,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
BACON CHEDDAR STEAK FRIES,7.99,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
PHILLY’S QUESADILLA,7.99,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
BUFFALO CHICKEN EGG ROLLS,10.99,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
ASIAN CHICKEN NACHOS,10.99,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
GOUDA & BACON MAC & CHEESE BITES,10.49,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
PHILLY’S HOUSE MADE CHILI SOUP,4.95,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
CHEF CARL’S CHICKEN ENCHILADA SOUP,3.99,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
PHILLY’S HOUSE SALAD,8.29,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
STRAWBERRY SALAD,9.99,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
GREEK SALAD,9.99,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
CAESAR SALAD,8.29,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
BUFFALO CHICKEN SALAD,11.99,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
CHICKEN COBB SALAD,12.95,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
MEDITERRANEAN QUINOA BOWL,9.49,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
PORK PHILLY CHEESESTEAK,11.49,,PHILLY'S SPORTS BAR & GRILL (N SCOTTSDALE RD),"UBEREATS, TEMPE, AZ",,,,,,,
