name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
WINGS,12.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
SOUTHWEST STEAK SALAD,16.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
BUFFALO SHRIMP,14.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
TRIPLE BACON BBQ BURGER,14.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
SLAMMIN' SALMON,15.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
SOUTHWEST SMOKED QUESO,8.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
KOSTACKED NACHOS,13.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
KNOCKOUT QUESADILLAS,9.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
JUMBO SHRIMP,12.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
TEXAS FRIED PICKLES,8.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
EDAMAME,5.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
SHRIMP CHIPS AND GUACAMOLE,5.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
DUMPLING JABS,5.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
BREAKFAST OF CHAMPIONS,9.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
STUFFED KICKERS,8.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
SPARRING ROLLS,5.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
FRIED MOZZARELLA,9.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
SAMPLER,21.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
CREAMY CAESAR SALAD,9.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
KNOCKOUT HOUSE SALAD,9.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
BUFFALO CHICKEN SALAD,13.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
BONELESS WINGS,11.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
SOUTHPAW PIZZA,11.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
CHEESE PIZZA,9.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
"IF HE MEATS, HE MEATS PIZZA",11.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
KOP PIZZA,10.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
KNOCKOUT BURGER,10.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
KO CHEESESTEAK,11.99,,KNOCKOUT SPORTS BAR (THE COLONY),"UBEREATS, THE COLONY, TX",,,,,,,
