name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CROOKED TREE BREAKFAST,10.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
CHEESE GRITS,3.75,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
CHOCOLATE CHIP,3.5,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
ROASTED BANANA,3.5,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
SMOKEY SCRAMBLE,10.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
BUTTERMILK,3.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
HOUSE MADE BISCUIT,2.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
PLAIN BISCUIT,2.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
SMOKED BACON SAMMY,8.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
SPICY CHICKEN SAMMY,9.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
PORK SAUSAGE SAMMY,8.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
COUNTRY HAM SAMMY,8.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
BREAKFAST WRAP,10.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
FRESH FRUIT,3.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
SIDE GRITS,3.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
SINGLE PANCAKE,4.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
SIDE HICKORY SMOKED BACON,4.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
SIDE HOUSE MADE SAUSAGE,4.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
POTATO HASH,3.0,,CROOKED TREE CAFE,"UBEREATS, USA, GA",,,,,,,
