name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BACON EGG CHEESE BISCUIT MEAL,7.49,770.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
SAUSAGE EGG MCMUFFIN MEAL,7.69,790.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
SAUSAGE EGG CHEESE MCGRIDDLE MEAL,8.19,870.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
BIG BREAKFAST WITH HOTCAKES,7.69,1340.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
MEDIUM ICED COFFEE,3.29,180.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
MEDIUM FRENCH VANILLA LATTE,3.99,290.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
MCCAFÉ CINNAMON ROLL,3.29,560.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
ADD STRAW,0.0,,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
ADD 2PC CUTLERY,0.0,,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
SPOONS,0.0,,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
ADD COFFEE STIRRER,0.0,,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
HASH BROWNS,2.19,150.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
SAUSAGE EGG BISCUIT MEAL,7.49,850.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
EGG MCMUFFIN MEAL,7.69,620.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
SAUSAGE MCMUFFIN MEAL,4.39,720.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
BACON EGG CHEESE MCGRIDDLE MEAL,8.19,740.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
2 SAUSAGE BURRITO MEAL,6.59,920.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
BIG BREAKFAST,6.19,750.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
HOTCAKES AND SAUSAGE,5.49,780.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
HOTCAKES,3.89,590.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
LOCAL DELUXE PLATTER,7.29,900.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
SAUSAGE PORTUGUESE RICE,5.49,520.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
SPAM RICE & EGG,5.49,480.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
MEDIUM PREMIUM ROAST COFFEE,1.19,0.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
MEDIUM DECAF COFFEE,1.19,0.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
MEDIUM HOT TEA,1.19,0.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
MEDIUM ICED CARAMEL COFFEE,3.29,190.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
MEDIUM ICED HAZELNUT COFFEE,3.29,170.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
MEDIUM ICED FRENCH VANILLA COFFEE,3.29,170.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
MEDIUM ICED SUGAR FREE VANILLA COFFEE,3.29,110.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
MEDIUM PREMIUM HOT CHOCOLATE,3.59,450.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
MEDIUM CARAMEL HOT CHOCOLATE,3.19,420.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
MEDIUM MINUTE MAID STRAWBERRY WATERMELON SLUSHIE,2.2,240.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
MEDIUM PINK LEMONADE SLUSHIE MINUTE MAID,2.2,250.0,MCDONALD'S,"94-212 LEOKU ST, UBEREATS, WAIPAHU, HI",,,,,,,
