name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
OXTAIL STEW W RICE,20.0,,TIKA'S GRILL,"UBEREATS, WAIPAHU, HI",,,,,,,
CURRY GOAT W RICE,20.0,,TIKA'S GRILL,"UBEREATS, WAIPAHU, HI",,,,,,,
BEEF STEW W RICE,18.0,,TIKA'S GRILL,"UBEREATS, WAIPAHU, HI",,,,,,,
GOAT SOUP W FRY BREAD,15.0,,TIKA'S GRILL,"UBEREATS, WAIPAHU, HI",,,,,,,
OXTAIL SOUP W FRY BREAD,15.0,,TIKA'S GRILL,"UBEREATS, WAIPAHU, HI",,,,,,,
FRY GOAT W FRY PLANTAIN,18.0,,TIKA'S GRILL,"UBEREATS, WAIPAHU, HI",,,,,,,
FRY FISH W FRY PLANTAIN,20.0,,TIKA'S GRILL,"UBEREATS, WAIPAHU, HI",,,,,,,
WHITE RICE W RED BEAN SAUCE,0.0,,TIKA'S GRILL,"UBEREATS, WAIPAHU, HI",,,,,,,
RICE & PEAS,0.0,,TIKA'S GRILL,"UBEREATS, WAIPAHU, HI",,,,,,,
COKE,1.5,,TIKA'S GRILL,"UBEREATS, WAIPAHU, HI",,,,,,,
SPRITE,1.5,,TIKA'S GRILL,"UBEREATS, WAIPAHU, HI",,,,,,,
GINGERALE,1.5,,TIKA'S GRILL,"UBEREATS, WAIPAHU, HI",,,,,,,
MALTA (GAYO DRINK),2.5,,TIKA'S GRILL,"UBEREATS, WAIPAHU, HI",,,,,,,
