name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
COKE BOTTLE,3.09,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
SPRITE BOTTLE,3.09,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
SIMPLY LEMONADE,3.09,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
HAMBURGER,9.6,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
CHEESEBURGER,10.41,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
BACON BURGER,10.87,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
BACON CHEESEBURGER,11.67,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
LITTLE HAMBURGER,7.19,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
LITTLE CHEESEBURGER,7.99,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
LITTLE BACON BURGER,8.45,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
LITTLE BACON CHEESEBURGER,9.26,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
KOSHER STYLE HOT DOG,6.67,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
CHEESE DOG,7.53,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
BACON DOG,7.88,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
BACON CHEESE DOG,8.68,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
GRILLED CHEESE SANDWICH,5.92,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
BLT SANDWICH,7.88,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
VEGGIE SANDWICH,5.58,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
VEGGIE CHEESE SANDWICH,7.53,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
LITTLE FRIES,4.47,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
REGULAR FRIES,5.62,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
LARGE FRIES,7.23,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
LITTLE CAJUN FRIES,4.47,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
REGULAR CAJUN FRIES,5.62,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
LARGE CAJUN FRIES,7.23,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
DASANI,2.52,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
HONEST GREEN TEA,3.09,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
DIET COKE BOTTLE,3.09,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
MILKSHAKE,5.62,,FIVE GUYS PA-0243 864 WEST STREET RD,"UBEREATS, WARMINSTER, PA",,,,,,,
