name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
HAPPIER HOUR BEVERAGE,1.2,,TACO BELL (430 YORK RD.),"UBEREATS, WARMINSTER, PA",,,,,,,
CHEESY GORDITA CRUNCH,5.03,,TACO BELL (430 YORK RD.),"UBEREATS, WARMINSTER, PA",,,,,,,
QUESARITO,4.79,,TACO BELL (430 YORK RD.),"UBEREATS, WARMINSTER, PA",,,,,,,
CHICKEN QUESADILLA,5.51,,TACO BELL (430 YORK RD.),"UBEREATS, WARMINSTER, PA",,,,,,,
NACHO CHEESE DORITOS LOCOS TACOS,2.63,,TACO BELL (430 YORK RD.),"UBEREATS, WARMINSTER, PA",,,,,,,
CRUNCHWRAP SUPREME,5.75,,TACO BELL (430 YORK RD.),"UBEREATS, WARMINSTER, PA",,,,,,,
GRANDE CRUNCHWRAP,4.19,,TACO BELL (430 YORK RD.),"UBEREATS, WARMINSTER, PA",,,,,,,
GRANDE CRUNCHWRAP MEAL,6.0,,TACO BELL (430 YORK RD.),"UBEREATS, WARMINSTER, PA",,,,,,,
GRANDE NACHOS BOX,6.0,,TACO BELL (430 YORK RD.),"UBEREATS, WARMINSTER, PA",,,,,,,
BAJA BLAST COLADA FREEZE,3.47,,TACO BELL (430 YORK RD.),"UBEREATS, WARMINSTER, PA",,,,,,,
TACO & BURRITO CRAVINGS PACK,12.0,,TACO BELL (430 YORK RD.),"UBEREATS, WARMINSTER, PA",,,,,,,
TACO PARTY PACK,17.99,,TACO BELL (430 YORK RD.),"UBEREATS, WARMINSTER, PA",,,,,,,
SOFT TACO PARTY PACK,17.99,,TACO BELL (430 YORK RD.),"UBEREATS, WARMINSTER, PA",,,,,,,
SUPREME TACO PARTY PACK,21.59,,TACO BELL (430 YORK RD.),"UBEREATS, WARMINSTER, PA",,,,,,,
SUPREME SOFT TACO PARTY PACK,21.59,,TACO BELL (430 YORK RD.),"UBEREATS, WARMINSTER, PA",,,,,,,
