name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
5PC HANDCRAFTED TENDER COMBO,12.69,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
¼ POUND POPCORN SHRIMP COMBO,9.89,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
4 SANDWICH FAMILY FEAST,20.79,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
BIG FAMILY FEAST,37.06,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
"12PC CHICKEN MEAL, 2 LARGE SIDES, 6 BISCUITS",32.99,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
BIGGER FAMILY FEAST,60.0,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
2PC CHICKEN COMBO,9.39,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
3PC HANDCRAFTED TENDER COMBO,11.59,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
3PC CHICKEN COMBO,11.59,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
2PC CHICKEN DINNER,8.29,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
3PC HANDCRAFTED TENDER DINNER,10.49,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
3PC CHICKEN DINNER,10.49,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
5PC HANDCRAFTED TENDER DINNER,11.59,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
¼ POUND POPCORN SHRIMP DINNER,9.89,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
"8PC CHICKEN MEAL, 1 LARGE SIDE, 4 BISCUITS",23.09,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
"8PC TENDERS MEAL, 1 LARGE SIDE, 4 BISCUITS",23.09,,POPEYES (2801 AGOURA RD),"UBEREATS, WESTLAKE VILLAGE, CA",,,,,,,
