name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
THE ORIGINAL STUFFED CHEESEBURGER,15.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
OUR FAMOUS BUFFALO CHICKEN WINGS,10.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
PUB STYLE PRETZEL STICKS,10.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
CHEESEBURGER SLIDER TRIO,11.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
8OZ CHEDDAR STUFFED CHIPOTLE BUFFALO (BISON) BURGER,17.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
BAKED ONION SOUP,6.5,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
CROCK OF CHILI CON CARNE,5.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
BUFFALO SHRIMP,12.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
NACHOS,12.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
HOT SPINACH AND ARTICHOKE DIP,11.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
MONTEREY JACK AND CHEDDAR QUESADILLA,10.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
CHEESE LOUISE,10.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
FRIED ZUCCHINI STICKS,10.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
POTATO SKINS,11.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
ORIENT EXPRESS,11.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
THE IRON HORSE WEDGE SALAD,12.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
CLASSIC CAESAR SALAD,16.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
ASIAN SALAD,16.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
CAPRESE SALAD,16.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
BROWN DERBY COBB SALAD,16.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
BOSTON WEDDING SALAD,16.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
THE CHEFS SALAD,16.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
BLACK AND BLEU SALAD,16.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
CHEESEBURGER SALAD,16.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
THE STOCKCAR BEEFBURGER,13.5,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
THE BURGER OF THE MONTH,16.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
GOURMET FOUR CHEESEBURGER,16.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
CALIFORNIA VEGGIE BURGER,14.5,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
KRONES FAMOUS SWISS CHEESE PATTY MELT,15.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
MARGHERITA BURGER,16.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
COLORADO CHICKEN BURGER,15.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
12OZ BEDROCK CHEESEBURGER,18.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
TURKEY BURGER,15.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
CHATTANOOGA CHICKEN,15.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
ORIGINAL PHILLY CHEESE STEAK SANDWICH,15.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
IRON HORSE WRAP,15.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
GRILLED CHICKEN BREAST SANDWICH,15.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
SOUTHERN BBQ PULLED PORK SANDWICH,15.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
CHICKEN SALAD MELT,15.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
THE REUBEN,15.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
THE AMERICAN FLYER,15.0,,THE IRON HORSE,"UBEREATS, WESTWOOD, NJ",,,,,,,
