name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
PARMA SKILLET HASH,13.79,1450.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
THE TRIFECTA,12.98,930.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
FRENCH TOAST,11.49,650.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
MARKET HASH,13.67,1310.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
CHICKEN AVOCADO CHOP SALAD,11.83,790.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
WATERMELON WAKE-UP,5.16,120.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
MORNING MEDITATION,5.16,140.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
KALE TONIC,5.16,130.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
AVOCADO TOAST,12.98,630.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
HEALTHY TURKEY,11.95,540.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
AM SUPERFOODS BOWL,11.14,990.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
SUNRISE GRANOLA BOWL,10.8,1090.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
TRI-ATHLETE,11.83,520.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
POWER WRAP,11.49,610.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
THE TRADITIONAL,12.64,1350.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
MULTIGRAIN PANCAKE,6.77,670.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
TWO MULTIGRAIN PANCAKES,8.84,1340.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
LEMON RICOTTA PANCAKES,12.29,1030.0,FIRST WATCH,"ALOMA, UBEREATS, WINTER PARK, FL",,,,,,,
