name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
VIETNAMESE GARLIC NOODLES,14.0,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
SOY GARLIC WING,13.5,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
SPICY TANG WING,13.5,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
TONKOTSU RAMEN,18.0,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
THAI DRUNKEN NOODLES,15.5,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
CHILI SOY WONTONS,9.0,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
LEMONGRASS WONTONS,9.0,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
VIETNAMESE EGG ROLL,9.0,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
POTSTICKERS,7.5,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
VEGETABLE GYOZA,7.5,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
K-POP AND LOCK FRIES,14.0,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
GOJIRA FRIES,12.0,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
PLAIN VIETNAMESE GARLIC NOODLES,11.0,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
STEAMED RICE,2.5,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
FRIES,5.5,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
KIMCHI,4.0,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
MANGO HABANERO,13.5,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
SPICY SOY WING,13.5,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
SPICY GARLIC PARMESAN,13.5,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
SODA CAN,2.5,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
THAI TEA,4.75,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
RED BULL,5.0,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
KAI PARTY PACK,50.0,,KAI ASIAN STREET FARE,"UBEREATS, WINTER PARK, FL",,,,,,,
