name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BIG BANG,7.49,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
AMAZON KICK,8.11,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
PEANUT BUTTER POWER UP,7.49,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
CHOCOLATE CHIMP,7.49,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
DRAGON FRUIT LEMON SPLASH,8.11,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
CEREAL PARTY,4.99,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
SWEET AND SOUR STAR POWER,4.99,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
FIJI ISLAND BREEZE,8.11,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
RIO BERRY BLISS,8.11,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
ALMOND BERRY BLAST,6.86,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
ALMOND MOCHA JOLT,6.86,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
MUSCLE UP BUTTERCUP,6.86,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
THE LAST MANGO,6.86,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
CAPTAIN KID,6.86,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
TWIG & BERRIES,6.86,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
VINNIE DEL ROCCO,6.86,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
PBJ,6.86,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
SHAG-A-DELIC,6.86,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
MOUNTAIN MAN CRUNCH,6.86,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
LUNAR LEMONADE,6.86,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
BERRY BADA-BING,6.86,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
STRAWBERRY COLADA,6.86,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
2 PIECE BIKINI,6.86,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
LEAPIN' LIZARD,6.86,,PLANET SMOOTHIE,"7538 UNIVERSITY BLVD STE 29, UBEREATS, WINTER PARK, FL",,,,,,,
