name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
ICE BLENDED WITH A SCOOP OF ICE CREAM,6.0,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
#1 SANDWICH,6.5,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
BEAR CLAW,2.5,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
APPLE FRITTER,2.5,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
#6 SANDWICH,7.5,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
#2 SANDWICH,6.5,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
#3 SANDWICH,6.5,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
#4 SANDWICH,7.0,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
#5 SANDWICH,7.0,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
CROISSANT SANDWICHES,7.5,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
BAR,1.5,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
OLD FASHIONED BAR,1.5,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
TWIST,1.5,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
MUFFIN,3.5,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
CINNAMON ROLL,2.5,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
FILLED,1.5,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
BUTTERMILK BAR,1.5,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
RAISED ROUND,1.5,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
ICE BLENDED WITH A SCOOP OF ICE CREAM AND A SHOT OF ESPRESSO,6.0,,ROYAL DONUTS,"UBEREATS, WOODLAND HILLS, CA",,,,,,,
