name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
COMBINATION 5,11.2,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
QUESADILLAS,9.9,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
NACHOS GRANDES “BIG”,8.99,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
TEXAS FAJITAS,20.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CHICKEN FAJITAS,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
HACIENDA VIEJA DIP,14.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
JALISCO DIP,13.2,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
SHRIMP CEVICHE,19.2,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CAMARONES ZARANDEADOS,19.2,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CALAMARI,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
DIPS,5.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
LA BANDERA DIP,12.0,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
QUESO FUNDIDO TEXANO,14.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
QUESO FUNDIDO,13.2,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
QUESO FUNDIDO CHORIZO,12.0,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
WINGS,13.2,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
SHRIMP COCKTAIL,20.0,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
HOUSE SALAD,4.2,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
GUACAMOLE SALAD,5.0,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
GRILLED SALAD,15.6,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
MONTERREY SALAD,15.6,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
ALEGRÍA SALAD,14.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
SPRING SALAD,15.6,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
FAJITA TACO SALAD,10.99,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
TACO SALAD,8.25,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CHEESE NACHOS,7.5,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CHEESE AND BEANS NACHOS,9.3,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CHEESE AND BEEF NACHOS,9.9,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CHEESE AND CHICKEN NACHOS,9.9,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
"CHEESE, BEEF AND BEANS NACHOS",9.9,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
"CHEESE, CHICKEN AND BEANS NACHOS",9.9,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
GRILLED CHICKEN AND CHEESE NACHOS,12.0,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
GRILLED STEAK AND CHEESE NACHOS,14.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
GRILLED SHRIMP AND CHEESE NACHOS,14.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
FAJITA NACHOS,15.6,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
VEGGIE NACHOS,14.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CALDO DE CAMARÓN,19.2,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CHARRO BEANS,5.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CALDO DE POLLO,5.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
FRIJOLES NEGROS,5.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
SOPA DE RES (BRISKET SOUP),5.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
TORTILLA SOUP,5.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
SOPA DE PAPAS,5.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
ENCHILADAS VERDES,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
ENCHILADAS RANCHERAS,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
ENCHILADAS BRISKET,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
ENCHILADAS SUPREMAS,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
SHRIMP ENCHILADAS,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
ENCHILADAS DEL MAR,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
ENCHILADAS DE CERDO,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
VEGGIE ENCHILADAS,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
FAJITA QUESADILLA,14.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
QUESADILLA GRANDE,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
QUESADILLA GRANDE GRILL,18.0,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
SUPER QUESADILLA,18.0,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
MEXICAN MOLCAJETE,19.2,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
MOLCAJETE TEXANO,21.6,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
MOLCAJETE HACIENDA VIEJA,24.0,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CHIMICHANGA,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
FLAUTAS MEXICANAS,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
STEAK FAJITAS,19.2,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
VEGGIE FAJITAS,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
SHRIMP FAJITAS,20.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
FAJITAS CARNITAS,19.2,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
BURRITO HACIENDA VIEJA,13.99,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
BURRITOS DE LUJO,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
FAJITA BURRITO,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
BURRITO AL CARBÓN,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
3+3 = BURRITOS PLEASURE,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
BURRITO DESHEBRADO,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
SEAFOOD BURRITO,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
MONSTER BURRITO,27.6,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
2 TACOS SUPREME,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
TACOS DE CARNE ASADA,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
MEXI PIZZA,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CALAMARI TACOS,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
TACOS DE CARNITAS,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
TACOS DEL MAR,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
TACOS DE BRISKET,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
TACOS AL PASTOR,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
TACOS DE TILAPIA,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
ALLIGATOR TACOS,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
MIXED GRILL TACOS,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
MAHI MAHI TACOS,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
TAMALE DINNER,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
MILANESA,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CHILAQUILES MEXICANOS,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CHILE COLORADO,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CHILE COLORADO TEXAS,20.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
CARNITAS,18.0,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
HOUSE SPECIAL,15.6,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
MEXICAN CHORIBURGER,14.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
MEXICAN BURGER,14.4,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
POLLO RANCHERO,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
POLLO PARIAN,16.8,,HACIENDA VIEJA MEXICAN RESTAURANT (WOODSTOCK),"UBEREATS, WOODSTOCK, GA",,,,,,,
