name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
EL TACO,10.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
MAIN STREET WALLDORF,10.59,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
CHEF,10.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
BROWN DERBY,10.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
PROTEIN POWER,9.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
HOUSE,9.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
KALE YEAH,8.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
ANTIPASTO,9.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
GARDEN,7.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
CAESAR,7.49,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
SIDE,4.79,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
EGGPLANT PARMESAN,15.79,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
BAKED ZITI,14.69,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
SPAGHETTI,10.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
CHICKEN PARMESAN,15.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
PAPPARDELLE ALFREDO,14.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
SHRIMP PO' BOY,10.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE TAILGATER,9.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE COMMODORE,9.79,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE DUKE,9.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
ITALIAN CHICKEN CUTLET,10.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE DUG OUT,10.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
GRANDMA'S CHICKEN CHEESE STEAK,10.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
MARCO POLLO,10.59,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE AMERICANO,10.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE ZIA,9.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE NEVADA,10.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE WHITMAN,9.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
HONEY MUSTARD CHICKEN,9.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
TURKEY CLUB,9.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE LONDON,9.79,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
FLORENTINE,9.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
BUFFALO CHICKEN,8.59,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE BAJA,10.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
CHICKEN CAESAR,8.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
TURKEY,8.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
SPICY SHRIMP,10.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE APOLLO,9.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
SHRIMP,12.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
CRAB CAKES,12.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
CHICKEN TENDERS,9.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
BONELESS WINGS,9.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
SWISS CHOCOLATE THREE LAYER CHALET CAKE,6.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
FUNNEL FRIES,5.49,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
ROCKIE ROAD BROWNIE,3.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
CHICKEN STRIPS,7.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
HOMEMADE BUFFALO SHRIMP,11.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
HOMEMADE FRIED MOZZARELLA,7.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
ONION RINGS,5.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
HOMEMADE FRIED SHRIMP,10.79,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
FALAFEL BITES,7.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
HOMEMADE BONELESS WINGS,8.79,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
SPICY GREEN BEANS,7.49,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
VEGAN WINGS,8.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
HOMEMADE CHEESESTEAK EGG ROLLS,8.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
FRIES,4.39,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
SUPER FLY FRIES,8.69,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
BAY FRIES,6.59,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
FRIED PICKLES,6.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
BLAZIN CAULIFLOWER,8.79,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
FRIED CALAMARI,11.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
SWEET POTATO FRIES,5.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
NEAPOLITAN,8.79,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
WHITE NEAPOLITAN,8.79,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE UNCLE BENNY,11.49,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
PHILLY STYLE CHEESESTEAK,11.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
MEAT LOVERS,12.59,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE SPICY BUFFALO,10.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE RANCHERO,10.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
HAWAIIAN,11.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
SAN JOSE,11.49,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
MAMA T'S GRILLED CHICKEN WHITE PIE,11.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
TUSCAN PIE,12.39,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE ROCKET PIE,11.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
NETTA STUFFED PIE,12.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
VEGETARIAN THE MELANZANA,11.49,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
VEGETARIAN MARGHERITA,9.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
VEGETARIAN VEGGIE,12.59,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
VEGETARIAN BOMBER'S PIE,11.49,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
VEGETARIAN THE CHICAGO RED TOP,9.79,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
VEGETARIAN THE SWEET PIE,10.59,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
VEGETARIAN TAJ MAHAL,11.49,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
SICILIAN 15 SQUARE PIE,16.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
MAIN STREET TOMATO PIE,14.29,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
THE BLITZ 15 SQUARE PIE,19.59,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
PEPPERONI CALZONE,11.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
HAM CALZONE,10.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
SPINACH CALZONE,10.99,,MAIN STREET PIZZERIA AND GRILLE (WYNCOTE),"UBEREATS, WYNCOTE, PA",,,,,,,
